com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21018;COM;27;21;212;1;ARCEY;Arcey;Arcey;2123;;Arcey;47.283333;4.816667
21020;COM;27;21;211;1;ARCONCEY;Arconcey;Arconcey;2101;;Arconcey;47.216667;4.45
21021;COM;27;21;212;1;ARC SUR TILLE;Arc-sur-Tille;Arc-sur-Tille;2121;;Arc-sur-Tille;47.333333;5.183333
21022;COM;27;21;211;1;ARGILLY;Argilly;Argilly;2120;;Argilly;47.066667;5
21023;COM;27;21;211;1;ARNAY LE DUC;Arnay-le-Duc;Arnay-le-Duc;2101;;Arnay-le-Duc;47.133333;4.483333
21024;COM;27;21;213;1;ARNAY SOUS VITTEAUX;Arnay-sous-Vitteaux;Arnay-sous-Vitteaux;2122;;Arnay-sous-Vitteaux;47.45;4.5
21025;COM;27;21;213;1;ARRANS;Arrans;Arrans;2119;;Arrans;47.7;4.316667
21026;COM;27;21;213;1;ASNIERES EN MONTAGNE;Asnières-en-Montagne;Asnières-en-Montagne;2119;;AsniÃ¨res-en-Montagne;47.716667;4.283333
21027;COM;27;21;212;1;ASNIERES LES DIJON;Asnières-lès-Dijon;Asnières-lès-Dijon;2114;;AsniÃ¨res-lÃ¨s-Dijon;47.383333;5.033333
21028;COM;27;21;212;1;ATHEE;Athée;Athée;2102;;AthÃ©e;47.233333;5.366667
21029;COM;27;21;213;1;ATHIE;Athie;Athie;2119;;Athie;;
21030;COM;27;21;211;1;AUBAINE;Aubaine;Aubaine;2101;;Aubaine;47.133333;4.716667
21031;COM;27;21;211;1;AUBIGNY EN PLAINE;Aubigny-en-Plaine;Aubigny-en-Plaine;2104;;Aubigny-en-Plaine;47.133333;5.166667
21032;COM;27;21;211;1;AUBIGNY LA RONCE;Aubigny-la-Ronce;Aubigny-la-Ronce;2101;;Aubigny-la-Ronce;46.983333;4.616667
21033;COM;27;21;212;1;AUBIGNY LES SOMBERNON;Aubigny-lès-Sombernon;Aubigny-lès-Sombernon;2123;;Aubigny-lÃ¨s-Sombernon;47.3;4.65
21034;COM;27;21;213;1;AUTRICOURT;Autricourt;Autricourt;2105;;Autricourt;47.99658;4.61977
21035;COM;27;21;211;1;AUVILLARS SUR SAONE;Auvillars-sur-Saône;Auvillars-sur-Saône;2104;;Auvillars-sur-SaÃ´ne;47.05;5.1
21036;COM;27;21;211;1;AUXANT;Auxant;Auxant;2101;;Auxant;47.116667;4.616667
21037;COM;27;21;211;1;AUXEY DURESSES;Auxey-Duresses;Auxey-Duresses;2117;;Auxey-Duresses;46.983333;4.75
21038;COM;27;21;212;1;AUXONNE;Auxonne;Auxonne;2102;;Auxonne;47.2;5.383333
21039;COM;27;21;212;1;AVELANGES;Avelanges;Avelanges;2116;;Avelanges;47.583333;5.033333
21040;COM;27;21;213;1;AVOSNES;Avosnes;Avosnes;2122;;Avosnes;47.366667;4.65
21041;COM;27;21;212;1;AVOT;Avot;Avot;2116;;Avot;47.616667;5.016667
21042;COM;27;21;211;0;BAGNOT;Bagnot;Bagnot;2104;;Bagnot;47.05;5.083333
21043;COM;27;21;213;0;BAIGNEUX LES JUIFS;Baigneux-les-Juifs;Baigneux-les-Juifs;2105;;Baigneux-les-Juifs;47.6;4.633333
21044;COM;27;21;213;0;BALOT;Balot;Balot;2105;;Balot;47.816667;4.433333
21045;COM;27;21;212;0;BARBIREY SUR OUCHE;Barbirey-sur-Ouche;Barbirey-sur-Ouche;2123;;Barbirey-sur-Ouche;47.25;4.75
